t, Cuff Pressure, Target Pressure
10.065 , 151.93 , 150
10.065 , 151.89 , 150
10.066 , 151.89 , 150
10.067 , 151.89 , 150
10.068 , 151.89 , 150
10.069 , 151.89 , 150
10.07 , 151.89 , 150
10.071 , 151.87 , 150
10.072 , 151.82 , 150
10.073 , 151.82 , 150
10.073 , 151.87 , 150
10.074 , 151.87 , 150
10.075 , 151.89 , 150
10.076 , 151.87 , 150
10.077 , 151.82 , 150
10.078 , 151.82 , 150
10.079 , 151.82 , 150
10.079 , 151.82 , 150
10.08 , 151.87 , 150
10.081 , 151.82 , 150
10.082 , 151.87 , 150
10.083 , 151.87 , 150
10.084 , 151.8 , 150
10.085 , 151.87 , 150
10.086 , 151.87 , 150
10.086 , 151.82 , 150
10.087 , 151.82 , 150
10.088 , 151.8 , 150
10.089 , 151.8 , 150
10.09 , 151.8 , 150
10.091 , 151.8 , 150
10.092 , 151.8 , 150
10.092 , 151.82 , 150
10.093 , 151.77 , 150
10.094 , 151.8 , 150
10.095 , 151.77 , 150
10.096 , 151.8 , 150
10.097 , 151.77 , 150
10.097 , 151.8 , 150
10.098 , 151.8 , 150
10.099 , 151.8 , 150
10.1 , 151.8 , 150
10.101 , 151.77 , 150
10.102 , 151.77 , 150
10.102 , 151.77 , 150
10.103 , 151.8 , 150
10.104 , 151.8 , 150
10.105 , 151.77 , 150
10.106 , 151.77 , 150
10.107 , 151.77 , 150
10.107 , 151.8 , 150
10.108 , 151.77 , 150
10.109 , 151.77 , 150
10.11 , 151.77 , 150
10.111 , 151.77 , 150
10.112 , 151.8 , 150
10.112 , 151.77 , 150
10.113 , 151.77 , 150
10.114 , 151.77 , 150
10.115 , 151.77 , 150
10.116 , 151.77 , 150
10.117 , 151.77 , 150
10.117 , 151.77 , 150
10.118 , 151.77 , 150
10.119 , 151.73 , 150
10.12 , 151.77 , 150
10.121 , 151.73 , 150
10.122 , 151.73 , 150
10.123 , 151.73 , 150
10.123 , 151.73 , 150
10.124 , 151.71 , 150
10.125 , 151.73 , 150
10.126 , 151.77 , 150
10.127 , 151.73 , 150
10.128 , 151.73 , 150
10.129 , 151.73 , 150
10.13 , 151.73 , 150
10.13 , 151.71 , 150
10.131 , 151.73 , 150
10.132 , 151.71 , 150
10.133 , 151.66 , 150
10.134 , 151.66 , 150
10.135 , 151.66 , 150
10.135 , 151.66 , 150
10.136 , 151.71 , 150
10.137 , 151.71 , 150
10.138 , 151.66 , 150
10.139 , 151.66 , 150
10.14 , 151.66 , 150
10.14 , 151.66 , 150
10.141 , 151.66 , 150
10.142 , 151.66 , 150
10.143 , 151.64 , 150
10.144 , 151.64 , 150
10.145 , 151.66 , 150
10.146 , 151.64 , 150
10.146 , 151.66 , 150
10.147 , 151.71 , 150
10.148 , 151.66 , 150
10.149 , 151.66 , 150
10.15 , 151.64 , 150
10.151 , 151.64 , 150
10.152 , 151.66 , 150
10.152 , 151.66 , 150
10.153 , 151.64 , 150
10.154 , 151.59 , 150
10.155 , 151.64 , 150
10.156 , 151.59 , 150
10.157 , 151.59 , 150
10.158 , 151.59 , 150
10.159 , 151.64 , 150
10.159 , 151.64 , 150
10.16 , 151.64 , 150
10.161 , 151.64 , 150
10.162 , 151.59 , 150
10.163 , 151.64 , 150
10.164 , 151.64 , 150
10.165 , 151.59 , 150
10.166 , 151.59 , 150
10.167 , 151.64 , 150
10.167 , 151.59 , 150
10.176 , 151.59 , 150
10.177 , 151.57 , 150
10.178 , 151.54 , 150
10.179 , 151.57 , 150
10.18 , 151.54 , 150
10.181 , 151.54 , 150
10.182 , 151.57 , 150
10.182 , 151.57 , 150
10.183 , 151.54 , 150
10.184 , 151.54 , 150
10.185 , 151.57 , 150
10.186 , 151.54 , 150
10.187 , 151.57 , 150
10.188 , 151.54 , 150
10.189 , 151.57 , 150
10.189 , 151.54 , 150
10.19 , 151.57 , 150
10.191 , 151.54 , 150
10.192 , 151.54 , 150
10.193 , 151.54 , 150
10.194 , 151.54 , 150
10.195 , 151.54 , 150
10.195 , 151.54 , 150
10.196 , 151.59 , 150
10.197 , 151.54 , 150
10.198 , 151.5 , 150
10.199 , 151.54 , 150
10.2 , 151.54 , 150
10.201 , 151.5 , 150
10.202 , 151.5 , 150
10.202 , 151.54 , 150
10.203 , 151.5 , 150
10.204 , 151.5 , 150
10.205 , 151.54 , 150
10.206 , 151.5 , 150
10.207 , 151.5 , 150
10.208 , 151.5 , 150
10.208 , 151.5 , 150
10.209 , 151.5 , 150
10.21 , 151.48 , 150
10.211 , 151.54 , 150
10.212 , 151.48 , 150
10.213 , 151.54 , 150
10.213 , 151.5 , 150
10.214 , 151.5 , 150
10.215 , 151.48 , 150
10.216 , 151.54 , 150
10.217 , 151.5 , 150
10.218 , 151.48 , 150
10.219 , 151.48 , 150
10.219 , 151.5 , 150
10.22 , 151.48 , 150
10.221 , 151.48 , 150
10.222 , 151.5 , 150
10.223 , 151.48 , 150
10.224 , 151.48 , 150
10.225 , 151.48 , 150
10.226 , 151.48 , 150
10.226 , 151.48 , 150
10.227 , 151.48 , 150
10.228 , 151.48 , 150
10.229 , 151.48 , 150
10.23 , 151.5 , 150
10.231 , 151.43 , 150
10.232 , 151.48 , 150
10.233 , 151.5 , 150
10.233 , 151.43 , 150
10.234 , 151.43 , 150
10.235 , 151.41 , 150
10.236 , 151.43 , 150
10.237 , 151.43 , 150
10.238 , 151.43 , 150
10.239 , 151.43 , 150
10.239 , 151.43 , 150
10.24 , 151.43 , 150
10.241 , 151.41 , 150
10.242 , 151.43 , 150
10.243 , 151.43 , 150
10.244 , 151.41 , 150
10.245 , 151.41 , 150
10.245 , 151.43 , 150
10.246 , 151.43 , 150
10.247 , 151.43 , 150
10.248 , 151.43 , 150
10.249 , 151.43 , 150
10.25 , 151.43 , 150
10.251 , 151.43 , 150
10.252 , 151.41 , 150
10.252 , 151.41 , 150
10.253 , 151.41 , 150
