t,pwm=15000
13.962,35.865
14.036,35.73
14.104,35.64
14.17,35.475
14.235,35.3175
14.304,35.1825
14.367,34.9725
14.44,34.815
14.506,34.65
14.576,34.515
14.745,34.17
14.812,34.0575
14.878,33.9
14.945,33.735
15.025,33.645
15.092,33.4875
15.156,33.345
15.221,33.255
15.283,33.1425
15.35,32.9625
15.427,32.82
15.493,32.73
15.557,32.6175
15.726,32.34
15.791,32.2275
15.857,32.0925
15.93,31.995
15.999,31.86
16.068,31.7475
16.136,31.635
16.201,31.515
16.271,31.4025
16.336,31.29
16.41,31.1775
16.479,31.0575
16.545,30.9225
16.717,30.6675
16.782,30.555
16.85,30.4425
16.92,30.3075
16.989,30.2325
17.059,30.1425
17.126,30.03
17.194,29.9625
17.266,29.73
17.332,29.7075
17.403,29.6175
17.473,29.4825
17.545,29.3925
17.721,29.115
17.798,29.025
17.866,28.9575
17.935,28.815
18.004,28.725
18.075,28.635
18.15,28.5675
18.218,28.4925
18.287,28.3575
18.354,28.29
18.423,28.245
18.493,28.11
18.564,28.035
18.744,27.81
18.813,27.72
18.879,27.6
18.95,27.4875
19.018,27.4875
19.089,27.33
19.206,27.195
19.264,27.12
19.31,27.12
19.361,27.03
19.417,26.9625
19.463,26.8725
19.52,26.8275
19.676,26.685
19.728,26.5725
19.778,26.5725
19.828,26.46
19.881,26.4375
19.93,26.37
19.987,26.2725
20.035,26.16
20.091,26.16
20.14,26.07
20.193,26.0475
20.243,25.935
20.295,25.89
20.455,25.7025
20.512,25.68
20.568,25.6125
20.619,25.5225
20.668,25.4775
20.724,25.4325
20.78,25.3575
20.838,25.3125
20.886,25.2
20.941,25.2
21.002,25.155
21.051,25.0875
21.106,24.9975
21.278,24.8325
21.327,24.8325
21.376,24.765
21.435,24.6975
21.49,24.6075
21.547,24.585
21.6,24.51
21.65,24.42
21.703,24.375
21.757,24.3075
21.809,24.3075
21.862,24.24
21.915,24.2175
22.072,24.0525
22.132,23.985
22.183,23.9175
22.236,23.85
22.291,23.8275
22.342,23.7825
22.396,23.76
22.447,23.6925
22.501,23.6925
22.556,23.6175
22.614,23.5275
22.671,23.505
22.727,23.3925
22.889,23.3025
22.944,23.235
23.003,23.1375
23.054,23.1375
23.112,23.1375
23.165,23.025
23.22,22.98
23.279,23.0025
23.333,22.9125
23.394,22.845
23.447,22.845
23.5,22.8
23.551,22.7475
23.717,22.5675
23.772,22.545
23.826,22.4775
23.885,22.455
23.942,22.41
23.998,22.29
24.052,22.32
24.122,22.245
24.178,22.2225
24.238,22.11
24.301,22.02
24.354,22.02
24.407,21.9975
24.569,21.885
24.623,21.8325
24.68,21.7875
24.737,21.765
24.792,21.72
24.852,21.63
24.909,21.63
24.966,21.6525
25.029,21.6075
25.096,21.495
25.153,21.4725
25.217,21.42
25.27,21.42
25.429,21.195
25.485,21.1725
25.539,21.1275
25.596,21.105
25.666,21.105
25.719,21.0375
25.774,21.015
25.837,20.94
25.898,20.94
25.954,20.8725
26.011,20.805
26.069,20.805
26.136,20.715
26.301,20.625
26.358,20.5575
26.415,20.5575
26.48,20.505
26.537,20.4375
26.6,20.415
26.662,20.325
26.724,20.28
26.785,20.28
26.842,20.2575
26.898,20.1675
26.956,20.1225
27.014,20.1675
27.178,20.025
27.234,19.98
