t,Pressure
37.059,-0.1841412
37.116,-0.1427879
37.181,-0.0585556
37.241,-0.006752014
37.295,0.02410126
37.354,0.04242706
37.415,0.3227119
37.475,0.3745003
37.534,0.3253269
37.598,0.2785625
37.662,0.2468147
37.792,0.1303062
37.858,0.1805458
37.924,0.1107559
37.98,0.07359695
38.046,0.05633926
38.106,0.05562592
38.165,0.1939526
38.228,0.2112083
38.288,0.1879997
38.346,0.277832
38.407,0.1231155
38.466,-0.0610733
38.535,-0.1128807
38.596,-0.2000828
38.662,-0.1273727
38.797,-0.1214428
38.861,-0.05569077
38.927,0.1520348
38.99,0.09430695
39.054,0.07005692
39.122,0.09727097
39.19,0.01945305
39.253,-0.03827286
39.314,-0.07299042
39.38,-0.05274963
39.448,0.004463196
39.513,0.08869171
39.572,0.06948853
39.635,0.5142593
39.708,0.2214146
39.849,-0.2017326
39.913,-0.1809978
39.983,-0.01179504
40.051,-0.02209854
