t,Pressure_Front,Pressure_Back
18.129,117.5325,101.67
18.194,117.1425,101.49
18.258,116.775,101.3475
18.323,116.385,101.19
18.38,116.1375,100.9125
18.443,115.8375,100.8225
18.502,115.4925,100.71
18.562,115.2,100.4325
18.628,115.1325,100.3425
18.694,116.7525,100.185
18.756,116.295,99.9525
18.816,115.9725,99.8625
18.936,115.29,99.6375
18.995,114.9,99.42751
19.055,114.645,99.1725
19.117,114.1875,99.03751
19.183,113.805,98.9025
19.244,113.5725,98.79
19.308,113.1825,98.6025
19.373,113.16,98.3775
19.435,114.3525,98.19
19.498,114.645,98.05501
19.563,114.1875,97.9425
19.629,113.7825,97.755
19.697,113.295,97.50749
19.759,112.89,97.3425
19.821,112.5675,97.2525
19.885,112.245,97.095
20.004,111.555,96.7275
20.068,111.1725,96.56999
20.134,111.0975,96.33749
20.201,112.89,96.18001
20.268,112.59,96.1125
20.333,112.2675,95.9475
20.394,111.855,95.7225
20.459,111.195,95.535
20.523,110.8725,95.39999
20.589,110.4825,95.19
20.663,110.0025,95.0775
20.73,109.7025,94.875
20.797,109.335,94.6425
20.902,109.11,94.35001
20.949,110.8725,94.35001
20.992,110.94,94.23
21.098,110.2275,93.795
21.145,109.8225,93.6825
21.195,109.335,93.57
21.26,109.02,93.4575
21.304,108.63,93.33749
21.348,108.33,93.27
21.392,108.0375,93.1575
21.442,107.85,92.9925
21.492,107.5725,92.8575
21.541,107.3025,92.7
21.586,107.025,92.61
21.63,107.1375,92.535
21.675,107.9175,92.39999
21.74,109.845,92.1525
21.79,108.7425,92.0325
21.84,108.24,91.9875
21.952,107.2575,91.7175
21.998,107.0025,91.485
22.043,106.7775,91.395
22.089,106.4325,91.305
22.137,106.11,91.23
22.186,105.885,91.14
22.239,105.5175,90.915
22.287,105.33,90.7725
22.339,105.105,90.5925
22.384,105.105,90.48
22.429,106.2,90.435
22.479,107.5725,90.27
22.525,107.0925,90.1575
22.578,106.455,90.045
22.631,106.0425,89.8575
22.689,105.5625,89.7
22.798,104.7375,89.4225
22.844,104.46,89.355
22.894,104.1675,89.2425
22.941,103.845,89.0625
22.989,103.545,88.8975
23.039,103.2975,88.785
23.092,103.23,88.74
23.143,103.155,88.605
23.201,104.9175,88.3725
23.249,106.0425,88.2825
23.299,104.8725,88.14
23.352,104.46,87.9825
23.4,104.025,87.8475
23.45,103.4775,87.7575
23.505,103.2075,87.6375
23.567,102.6525,87.48
23.677,101.9475,87.18
23.723,101.67,86.9775
23.779,101.3475,86.79
23.828,101.1225,86.745
23.876,101.1675,86.655
23.931,102.4275,86.52
23.99,103.8,86.3325
24.047,102.975,86.13
24.097,102.6975,86.04
24.144,102.195,85.95
24.192,101.6025,85.785
24.241,101.325,85.6725
24.296,100.8225,85.56
24.349,100.41,85.44
24.406,100.095,85.3275
24.461,99.75,85.1475
24.577,99.03751,84.71249
24.63,99.105,84.5925
24.678,100.2075,84.52499
24.73,101.5575,84.48
24.783,101.055,84.2775
24.838,100.8225,84.045
24.893,100.2525,83.91
24.949,99.66,83.865
25.007,99.22501,83.73
25.059,98.8125,83.565
25.108,98.49001,83.4525
25.162,98.21249,83.265
25.21,97.82249,83.22
25.269,97.41,82.995
25.324,97.11751,82.7625
25.379,97.16251,82.6275
25.496,99.8625,82.425
25.55,99.54,82.3275
25.601,98.925,82.1925
25.653,98.28,82.035
25.712,97.575,81.8475
25.77,97.16251,81.645
25.83,96.705,81.5325
25.892,96.27,81.39
