t,Cuff Pressure,Baseline Pressure,Difference Pressure, Oscillometric Waveform
0.505 , 158.59 , 160.72 , 1.79 , 49.73
0.508 , 158.55 , 160.75 , 1.8 , 49.73
0.51 , 158.53 , 160.79 , 1.81 , 49.72
0.513 , 158.53 , 160.72 , 1.8 , 49.74001
0.516 , 158.55 , 160.72 , 1.81 , 49.74
0.519 , 158.53 , 160.75 , 1.81 , 49.75
0.521 , 158.53 , 160.72 , 1.82 , 49.74
0.524 , 158.55 , 160.68 , 1.82 , 49.75001
0.527 , 158.55 , 160.72 , 1.83 , 49.75
0.529 , 158.53 , 160.75 , 1.84 , 49.75
0.532 , 158.53 , 160.75 , 1.84 , 49.76001
0.534 , 158.53 , 160.72 , 1.84 , 49.76001
0.537 , 158.55 , 160.72 , 1.85 , 49.76
0.54 , 158.5 , 160.72 , 1.87 , 49.75
0.542 , 158.46 , 160.72 , 1.86 , 49.77
0.545 , 158.5 , 160.75 , 1.85 , 49.79
0.547 , 158.55 , 160.75 , 1.88 , 49.76
0.55 , 158.5 , 160.75 , 1.88 , 49.77001
0.553 , 158.5 , 160.75 , 1.88 , 49.78
0.555 , 158.43 , 160.68 , 1.89 , 49.78
0.558 , 158.43 , 160.68 , 1.9 , 49.78001
0.561 , 158.46 , 160.68 , 1.9 , 49.78001
0.563 , 158.46 , 160.72 , 1.9 , 49.79
0.566 , 158.46 , 160.75 , 1.91 , 49.79
0.569 , 158.5 , 160.75 , 1.92 , 49.79001
0.571 , 158.46 , 160.75 , 1.92 , 49.79001
0.574 , 158.43 , 160.72 , 1.92 , 49.8
0.576 , 158.43 , 160.68 , 1.94 , 49.79
0.579 , 158.37 , 160.72 , 1.93 , 49.81001
0.582 , 158.43 , 160.68 , 1.94 , 49.81
0.585 , 158.39 , 160.72 , 1.94 , 49.82
0.587 , 158.43 , 160.75 , 1.94 , 49.82
0.59 , 158.39 , 160.75 , 1.95 , 49.82
0.592 , 158.46 , 160.75 , 1.96 , 49.82
0.595 , 158.43 , 160.79 , 1.98 , 49.81001
0.598 , 158.37 , 160.75 , 1.98 , 49.82
0.6 , 158.39 , 160.72 , 1.99 , 49.81
0.603 , 158.39 , 160.68 , 1.99 , 49.82
0.606 , 158.43 , 160.72 , 1.99 , 49.83001
