t, OWM
1.511,49.78001
1.513,49.76001
1.516,49.76
1.519,49.76
1.521,49.77001
1.524,49.78
1.526,49.79
1.529,49.79
1.532,49.79
1.534,49.77
1.537,49.76
1.539,49.77
1.542,49.77
1.545,49.79
1.547,49.77
1.55,49.78001
1.553,49.79
1.555,49.79
1.558,49.79001
1.561,49.8
1.563,49.78
1.566,49.78
1.569,49.79001
1.572,49.79
1.574,49.8
1.577,49.79
1.58,49.79
1.582,49.81
1.585,49.77999
1.588,49.8
1.59,49.79
1.593,49.8
1.595,49.79001
1.598,49.8
1.6,49.81001
1.603,49.8
1.606,49.79001
1.608,49.8
1.611,49.8
1.613,49.79
1.616,49.81001
1.619,49.81
1.621,49.80999
1.624,49.8
1.626,49.8
1.629,49.79
1.632,49.80001
1.634,49.8
1.637,49.8
1.64,49.8
1.642,49.81001
1.645,49.83
1.648,49.83
1.65,49.82
1.653,49.82001
1.656,49.79
1.658,49.8
1.661,49.82001
1.664,49.83
1.666,49.81
1.669,49.82
1.671,49.82
1.682,49.82
1.684,49.82
1.687,49.84
1.69,49.84001
1.692,49.82
1.695,49.82999
1.697,49.8
1.7,49.82001
1.703,49.82
1.705,49.82999
1.708,49.84
1.711,49.85
1.713,49.81
1.716,49.81001
1.719,49.83
1.721,49.83
1.724,49.84001
1.727,49.84001
1.729,49.83
1.732,49.83
1.735,49.83001
1.737,49.80001
1.74,49.83
1.742,49.82999
1.745,49.84
1.747,49.84
1.75,49.83
1.753,49.82999
1.755,49.81001
1.758,49.82
1.761,49.85001
1.763,49.83001
1.766,49.83
1.768,49.84
1.771,49.84001
1.774,49.83
1.776,49.82
1.779,49.82999
1.781,49.83001
1.784,49.83
1.787,49.83
1.789,49.82999
1.792,49.83001
1.794,49.83
1.797,49.81
1.8,49.84001
1.802,49.85
1.805,49.82
1.808,49.85001
1.81,49.84001
1.813,49.83
1.816,49.83
1.818,49.81001
1.821,49.84
1.824,49.84
1.826,49.84
1.829,49.85001
1.832,49.85
1.834,49.82
1.837,49.82
1.84,49.82
1.842,49.82
1.845,49.83001
1.847,49.83001
1.85,49.86
1.852,49.83
1.855,49.85001
1.858,49.84
1.86,49.83
1.863,49.82
1.865,49.83001
1.868,49.84
1.871,49.82999
